altitude,availableBikes,availableDocks,city,id,is_renting,kioskType,landMark,lastCommunicationTime,latitude,location,longitude,postalCode,stAddress1,stAddress2,stationName,status,statusKey,statusValue,testStation,totalDocks
0.0,5,13,Chicago,92,True,True,Chicago,2021-08-31 13:05:23,41.894556,Chicago,-87.653449,60602,Chicago,Chicago,Carpenter St & Huron St,IN_SERVICE,1,IN_SERVICE,False,19
0.0,5,10,Chicago,93,True,True,Chicago,2021-08-31 13:05:51,41.913688,Chicago,-87.652855,60602,Chicago,Chicago,Sheffield Ave & Willow St,IN_SERVICE,1,IN_SERVICE,False,15
0.0,3,28,Chicago,94,True,True,Chicago,2021-08-31 13:19:19,41.918306,Chicago,-87.636282,60602,Chicago,Chicago,Clark St & Armitage Ave,IN_SERVICE,1,IN_SERVICE,False,31
0.0,1,9,Chicago,95,True,True,Chicago,2021-08-31 10:48:50,41.778881,Chicago,-87.586647,60602,Chicago,Chicago,Stony Island Ave & 64th St,IN_SERVICE,1,IN_SERVICE,False,11
0.0,3,20,Chicago,96,True,True,Chicago,2021-08-31 13:07:09,41.88461618962,Chicago,-87.6445705849,60602,Chicago,Chicago,Desplaines St & Randolph St,IN_SERVICE,1,IN_SERVICE,False,23
0.0,0,55,Chicago,97,True,True,Chicago,2021-08-31 12:38:20,41.865312,Chicago,-87.617867,60602,Chicago,Chicago,Field Museum,IN_SERVICE,1,IN_SERVICE,False,55
0.0,12,3,Chicago,98,True,True,Chicago,2021-08-31 13:19:07,41.882664,Chicago,-87.63253,60602,Chicago,Chicago,LaSalle St & Washington St,IN_SERVICE,1,IN_SERVICE,False,15
0.0,3,15,Chicago,99,True,True,Chicago,2021-08-31 13:12:54,41.89257,Chicago,-87.614492,60602,Chicago,Chicago,DuSable Lake Shore Dr & Ohio St,IN_SERVICE,1,IN_SERVICE,False,19
0.0,6,28,Chicago,100,True,True,Chicago,2021-08-31 13:06:23,41.888243,Chicago,-87.63639,60602,Chicago,Chicago,Orleans St & Merchandise Mart Plaza,IN_SERVICE,1,IN_SERVICE,False,35
0.0,11,4,Chicago,101,True,True,Chicago,2021-08-31 09:53:22,41.78091096424803,Chicago,-87.57632374763489,60602,Chicago,Chicago,63rd St Beach,IN_SERVICE,1,IN_SERVICE,False,15
